Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
-1.59,-1.73,-.70999998,2.6900001,1.3200001,-.62,-1.65,-.73000002,-.86000001,-.77999997,-.079999998,1.22
-1.24,.36000001,-.61000001,-1.41,1.54,.89999998,-.13,-1.75,.44999999,-1.26,-1.67,-1.39
.47999999,1.3099999,-1.4,-2.0899999,-.41999999,-1.08,-3.1800001,.44999999,-1.48,-1.17,-1.1799999,-3.1500001
-.46000001,.44999999,-1.14,-1.67,.19,-2.1199999,-2.6800001,-2.45,-.23,-.56999999,-1.33,-.82999998
-1.66,-1.91,-2.3,-2.72,.15000001,-1.79,-2.8900001,-.94999999,-.89999998,.20999999,.5,-2.1400001
-.5,1.03,.15000001,-.07,1,.36000001,.28,-.43000001,-3.23,-1.79,-1.0599999,.31999999
-1.3099999,-.80000001,-.1,.88,.67000002,-1.74,-.80000001,-.34,.30000001,-1.91,-1.8,-2.0899999
1.74,-1.16,.059999999,4.1399999,-1.1799999,-1.01,-.70999998,-1.59,-.17,-1.59,-1.4400001,-1.26
-1.34,.58999997,1.34,-1.5,-.12,.82999998,-.98000002,-1.5,-.77999997,-.58999997,-.14,-1.0700001
-1.47,-.99000001,-2.3599999,.73000002,-.74000001,.82999998,-.64999998,-1.6900001,3.1099999,-2.3,-4.0100002,.74000001
-2.5999999,-1.09,-.50999999,.36000001,-2.76,-1.2,-4.9000001,-.11,-.039999999,2.52,.33000001,.28999999
.47,.14,-1.89,-1.01,-1.76,1.5,-2.72,-1.92,.07,-.58999997,-.46000001,.31
-.25999999,-1.9,.16,.28999999,.11,1.01,.25,2.77,-2.22,.22,-4.0300002,.89999998
-3.8099999,-.63,-2.1099999,-.94,-4.5300002,-1.8200001,-.07,-2.8499999,-2.8800001,1.95,.18000001,-.44
-.99000001,-.38,1.01,.0099999998,-1.72,-.64999998,4.25,-2.8199999,-.99000001,-.57999998,-1.0599999,-.52999997
-1.91,-.55000001,-1.67,.50999999,-.23999999,-4.8000002,-1.15,-1.38,-.99000001,1.75,-3.8800001,-.55000001
-1.5,.38999999,-1.78,-.95999998,2.04,-1.9299999,-1.61,1.85,-.33000001,-.92000002,-.11,-2.1400001
-1.52,-1.6,-1.02,-.89999998,.92000002,-2.54,-.62,.029999999,1.13,-3.26,-.51999998,-2.4400001
-.47999999,1.97,-.55000001,-.66000003,-.2,0,-.31999999,-2.3900001,-1.15,-.80000001,-1.67,-2.6400001
